created_at,open,high,low,close,CDLABANDONEDBABY,CDL3INSIDE,CDLMORNINGSTAR,CDL3WHITESOLDIERS,CDLRISEFALL3METHODS,CDLUNIQUE3RIVER,CDLMORNINGDOJISTAR,CDLTRISTAR,CDLLADDERBOTTOM,CDLBREAKAWAY,CDLSTICKSANDWICH,CDLADVANCEBLOCK,CDLCONCEALBABYSWALL
2026-01-30 14:54:00+05:30,1131.3,1132.3,1129.1,1130.2,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 14:57:00+05:30,1130.9,1135.3,1130.6,1134.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 15:00:00+05:30,1134.5,1135.4,1131.1,1133.6,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 15:03:00+05:30,1133.7,1135.0,1132.6,1132.6,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 15:06:00+05:30,1132.9,1134.8,1132.2,1133.9,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 15:09:00+05:30,1134.4,1138.0,1133.3,1137.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 15:12:00+05:30,1137.0,1137.4,1133.5,1133.7,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 15:15:00+05:30,1133.7,1137.3,1133.3,1135.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 15:18:00+05:30,1135.5,1137.4,1133.9,1136.6,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 15:21:00+05:30,1136.2,1138.9,1133.3,1135.8,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 15:24:00+05:30,1136.6,1136.6,1131.0,1134.6,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 15:27:00+05:30,1134.4,1148.0,1125.4,1129.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 09:15:00+05:30,1134.3,1135.1,1123.1,1131.9,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 09:18:00+05:30,1130.0,1131.8,1130.0,1131.7,0,0,0,0,0,100,0,0,0,0,0,0,0
2026-02-01 09:21:00+05:30,1130.0,1130.9,1129.6,1130.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 09:24:00+05:30,1130.0,1131.1,1127.5,1128.2,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 09:27:00+05:30,1127.6,1131.9,1126.4,1131.9,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 09:30:00+05:30,1130.9,1132.5,1130.8,1131.7,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 09:33:00+05:30,1132.4,1132.4,1127.1,1127.6,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 09:36:00+05:30,1128.7,1129.4,1128.0,1129.4,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 09:39:00+05:30,1129.0,1129.7,1128.0,1129.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 09:42:00+05:30,1128.8,1129.5,1127.1,1127.8,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 09:45:00+05:30,1128.7,1130.7,1128.7,1130.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 09:48:00+05:30,1129.9,1129.9,1124.9,1125.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 09:51:00+05:30,1124.7,1127.2,1120.8,1122.8,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 09:54:00+05:30,1122.8,1124.9,1122.1,1124.9,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 09:57:00+05:30,1123.9,1124.8,1120.1,1122.9,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 10:00:00+05:30,1123.2,1127.5,1121.4,1125.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 10:03:00+05:30,1125.0,1127.1,1123.3,1125.2,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 10:06:00+05:30,1125.4,1125.7,1120.9,1124.7,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 10:09:00+05:30,1122.8,1123.8,1120.0,1122.6,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 10:12:00+05:30,1122.5,1122.9,1115.1,1116.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 10:15:00+05:30,1117.5,1125.0,1115.3,1123.9,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 10:18:00+05:30,1124.0,1128.1,1124.0,1127.6,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 10:21:00+05:30,1127.8,1128.9,1125.6,1128.9,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 10:24:00+05:30,1128.5,1129.5,1126.2,1129.3,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 10:27:00+05:30,1128.5,1129.8,1126.7,1129.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 10:30:00+05:30,1128.9,1131.2,1128.6,1130.7,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 10:33:00+05:30,1132.2,1132.5,1131.0,1131.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 10:36:00+05:30,1130.5,1131.5,1130.0,1130.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 10:39:00+05:30,1131.0,1131.0,1130.0,1130.4,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 10:42:00+05:30,1130.1,1132.9,1130.0,1132.3,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 10:45:00+05:30,1132.2,1132.2,1125.0,1130.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 10:48:00+05:30,1130.0,1132.3,1130.0,1130.7,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 10:51:00+05:30,1130.7,1130.7,1130.5,1130.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 10:54:00+05:30,1130.7,1130.7,1130.0,1130.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 10:57:00+05:30,1131.0,1131.0,1129.8,1130.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 11:00:00+05:30,1130.0,1130.6,1130.0,1130.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 11:03:00+05:30,1130.7,1130.7,1129.7,1130.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 11:06:00+05:30,1130.0,1131.0,1130.0,1130.3,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 11:09:00+05:30,1131.0,1131.0,1131.0,1131.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 11:12:00+05:30,1130.5,1131.0,1130.0,1130.9,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 11:15:00+05:30,1130.9,1131.0,1130.0,1131.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 11:18:00+05:30,1131.0,1131.0,1130.8,1130.8,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 11:21:00+05:30,1130.8,1130.9,1130.8,1130.9,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 11:24:00+05:30,1130.9,1131.0,1130.0,1131.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 11:27:00+05:30,1131.0,1131.0,1128.8,1130.7,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 11:30:00+05:30,1130.0,1130.6,1130.0,1130.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 11:33:00+05:30,1130.0,1130.0,1129.6,1130.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 11:36:00+05:30,1130.2,1131.0,1130.1,1130.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 11:39:00+05:30,1131.0,1131.0,1129.8,1130.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 11:42:00+05:30,1130.1,1130.1,1129.2,1129.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 11:45:00+05:30,1130.0,1131.3,1129.5,1131.3,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 11:48:00+05:30,1131.3,1131.3,1130.0,1130.2,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 11:51:00+05:30,1131.1,1131.1,1130.0,1130.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 11:54:00+05:30,1130.9,1130.9,1130.0,1130.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 11:57:00+05:30,1130.1,1130.3,1130.0,1130.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 12:00:00+05:30,1130.0,1130.3,1129.3,1130.3,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 12:03:00+05:30,1130.0,1130.0,1130.0,1130.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 12:06:00+05:30,1130.8,1134.5,1130.8,1133.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 12:09:00+05:30,1132.9,1133.6,1128.4,1131.2,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 12:12:00+05:30,1130.0,1130.0,1118.5,1123.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 12:15:00+05:30,1123.1,1123.1,1092.2,1097.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 12:18:00+05:30,1097.4,1097.4,1025.1,1048.9,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 12:21:00+05:30,1049.0,1126.1,1049.0,1095.6,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 12:24:00+05:30,1095.2,1130.5,1090.8,1129.2,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 12:27:00+05:30,1129.3,1129.4,1117.6,1127.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 12:30:00+05:30,1127.0,1127.3,1096.0,1112.9,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 12:33:00+05:30,1111.0,1118.3,1111.0,1115.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 12:36:00+05:30,1115.3,1124.0,1114.3,1121.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 12:39:00+05:30,1121.0,1125.0,1119.2,1120.3,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 12:42:00+05:30,1120.3,1120.3,1112.0,1118.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 12:45:00+05:30,1119.2,1121.5,1114.8,1121.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 12:48:00+05:30,1123.2,1123.2,1103.9,1107.7,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 12:51:00+05:30,1106.0,1115.1,1104.3,1114.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 12:54:00+05:30,1114.5,1121.6,1114.3,1120.6,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 12:57:00+05:30,1121.0,1123.3,1119.0,1123.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 13:00:00+05:30,1122.0,1122.9,1117.2,1117.2,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 13:03:00+05:30,1119.0,1122.3,1119.0,1120.4,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 13:06:00+05:30,1121.1,1126.4,1119.2,1119.3,0,0,0,0,0,0,0,0,0,0,0,0,0
